"corpus","preloaded/trends_en"
"subcorpus","-"
"concordance size","10000"
"query","Query:alemma,[word=""natural""];Random sample:10000"
"Reference","Left","KWIC","Right"
"2014-01-02","a great advocate of the medical marijuana movement. </s><s> On Nov 23rd 2013 billionaire Peter Lewis passed away from","natural","cause''s just days after celebrating his 80th birthday. </s><s> He was known to the world as the chairman of Progressive"
"2014-01-12","beams. </s><s> The new tunnel is also fitted with 200 energy-efficient LED lights that self-adjust depending on available","natural","light, which Caltrans officials say will save about $50,000 a year on electricity costs. </s><s> A new coat of bright, white"
"2014-01-26","more clearly. </s><s> Go strong. </s><s> Go direct. </s><s> Hit the highest note. </s><s> Own it. </s><s> Bone it. </s><s> Sometime in August, this mantra will become","natural","to you, and wealth and recognition will come easily. </s><s> You will have been planting the seeds of this seeming serendipity"
"2014-03-04","volunteers and businesses have spent many hours and thousands of dollars creating and upgrading the trails and","natural","landscaping. </s><s> I enjoy running at HLMP often. </s><s> However, if it is muddy, I avoid HLMP and run elsewhere. </s><s> I am not alone; I"
"2014-03-04","the truth/"" Zurabyan asked. </s><s> Zurabyan said the people had a few simple questions that concerned them regarding the","natural","gas issue. </s><s> The others, Zurabyan said, refer to the consumer price of the commodity and the powers granted by the"
"2014-03-05",", a recent photography competition showcases the stunning images witnessed by engineers as they work </s><s> Plans to rebuild","natural","environments by replacing extinct species with new ones are forcing enthusiasts to reconsider what ""natural"" really"
"2014-03-07","assumption of 5.8 MMcf/d. </s><s> We are very pleased to now have demonstrated proof of this trend which we believe is the","natural","evolution of a repeatable resource play where drilling and completions techniques can be optimized over time. </s>"
"2014-03-22","is still uncertainty that current increased crude production is sustainable. </s><s> Although EPCA restricts the sale of","natural","gas, the exemptions to this ban are administered by the Department of Energy and are less restrictive than the rules"
"2014-05-16","response, possibly involving an aconitase mutant. </s><s> Such a vaccine would ideally more closely replicate a","natural","infection, protecting the animals against infection. </s><s> ""We get Salmonella from chickens that are chronically"
"2014-05-17",", Senate Transport Committee chair Abu Chiaba (Lamu) said the county government was getting it wrong on management of","natural","resources. </s><s> ""What we are legislating as the Senate is modalities on sharing revenue accrued from resources within"
"2014-06-18","percent less calories!) that''s sweetened with a mix of sugar and Stevia. </s><s> In case you needed a refresher on Stevia, it''s a","natural","sweetener derived from a plant native to South America -- and the World Health Organization deemed it safe eight years"
"2014-07-11","winners argued that several countries across the world were ""diverting 100 per cent of the government receipts from","natural","resources like oil and ore into such funds"". </s><s> ""They are permitting themselves the use of only the interest from such"
"2014-07-22","bring the facility up to Van Gaal''s standards. </s><s> They have also sanctioned the installment of Desso pitches - which use","natural","grass reinforced with hybrid turf - to match the playing surface at Old Trafford. </s><s> Luncheon kickoff set for Aug. 22 </s>"
"2014-07-29","penalty corners have been a feature of the tournament thus far, something she puts down to practice and more than a bit of","natural","ability. </s><s> ""Hopefully it''s a threat when I stand up there - they''re a bit worried."" </s><s> Australian defender Karri McMahon"
"2014-08-14","quarter of 2013. </s><s> The increase in funds from operations is primarily due to an increase in field condensate,","natural","gas liquids and natural gas production and an improvement in the price received for these commodities in the second"
"2014-10-16","cook? </s><s> The kitchen has a cathedral ceiling, a center island, granite countertops and walls of windows that let in tons of","natural","light. </s><s> Next to the kitchen is a breakfast nook and a glass door leads to the multi-tiered slate patio, in case you''d"
"2014-11-07",". </s><s> TO) </s><s> Canadian pipeline company Veresen Inc is talking to Japanese buyers for offtake from its Jordan Cove liquefied","natural","gas (LNG) facility in Oregon and expects to make a final investment decision for the project by the middle of next year. </s>"
"2014-12-07","with a new career, the dilapidated, vacant storefront on the town''s main drag seemed a natural venue. </s><s> She also seems a","natural","at the business, touching customers'' backs or arms as she wends through the crowd, propping open the door when the room"
